Day,Start,End,EC2_Type
1,00:00,05:00,STOP
1,05:00,23:00,t2.micro
1,23:00,23:59,STOP
2,00:00,05:00,STOP
2,05:00,23:00,t2.micro
2,23:00,23:59,STOP
3,00:00,05:00,STOP
3,05:00,23:00,t2.micro
3,23:00,23:59,STOP
4,00:00,05:00,STOP
4,05:00,23:00,t2.micro
4,23:00,23:59,STOP
5,00:00,05:00,STOP
5,05:00,23:00,t2.micro
5,23:00,23:59,STOP
6,00:00,05:00,STOP
6,05:00,23:00,t2.micro
6,23:00,23:59,STOP
7,00:00,05:00,STOP
7,05:00,23:00,t2.micro
7,23:00,23:59,STOP
8,00:00,05:00,STOP
8,05:00,23:00,t2.micro
8,23:00,23:59,STOP
9,00:00,05:00,STOP
9,05:00,23:00,t2.micro
9,23:00,23:59,STOP
10,00:00,05:00,STOP
10,05:00,23:00,t2.micro
10,23:00,23:59,STOP
11,00:00,05:00,STOP
11,05:00,23:00,t2.micro
11,23:00,23:59,STOP
12,00:00,05:00,STOP
12,05:00,23:00,t2.micro
12,23:00,23:59,STOP
13,00:00,05:00,STOP
13,05:00,23:00,t2.micro
13,23:00,23:59,STOP
14,00:00,05:00,STOP
14,05:00,23:00,t2.micro
14,23:00,23:59,STOP
15,00:00,05:00,STOP
15,05:00,23:00,t2.micro
15,23:00,23:59,STOP
16,00:00,05:00,STOP
16,05:00,23:00,t2.micro
16,23:00,23:59,STOP
17,00:00,05:00,STOP
17,05:00,23:00,t2.micro
17,23:00,23:59,STOP
18,00:00,05:00,STOP
18,05:00,23:00,t2.micro
18,23:00,23:59,STOP
19,00:00,05:00,STOP
19,05:00,23:00,t2.micro
19,23:00,23:59,STOP
20,00:00,05:00,STOP
20,05:00,23:00,t2.micro
20,23:00,23:59,STOP
21,00:00,05:00,STOP
21,05:00,23:00,t2.micro
21,23:00,23:59,STOP
22,00:00,05:00,STOP
22,05:00,23:00,t2.micro
22,23:00,23:59,STOP
23,00:00,05:00,STOP
23,05:00,23:00,t2.micro
23,23:00,23:59,STOP
24,00:00,05:00,STOP
24,05:00,23:00,t2.micro
24,23:00,23:59,STOP
25,00:00,05:00,STOP
25,05:00,23:00,t2.micro
25,23:00,23:59,STOP
26,00:00,05:00,STOP
26,05:00,23:00,t2.micro
26,23:00,23:59,STOP
27,00:00,05:00,STOP
27,05:00,23:00,t2.micro
27,23:00,23:59,STOP
28,00:00,05:00,STOP
28,05:00,23:00,t2.micro
28,23:00,23:59,STOP
29,00:00,05:00,STOP
29,05:00,23:00,t2.micro
29,23:00,23:59,STOP
30,00:00,05:00,STOP
30,05:00,23:00,t2.micro
30,23:00,23:59,STOP
31,00:00,05:00,STOP
31,05:00,23:00,t2.micro
31,23:00,23:59,STOP
